,MSZoning,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition_1,Condition_2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior_1st,Exterior_2nd,MasVnrType,MasVnrArea,Foundation,BsmtExposure,BsmtFinType_1,BsmtFinType_2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageFinish,GarageCars,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,_3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,YearSinceRemod,TotBathrooms
0,RL,8450,No_Alley,4,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,PConc,No,GLQ,Unf,856,GasA,Ex,Y,SBrkr,1710,3,1,8,0,Attchd,3,2,3,0,61,0,0,0,0,No_Fence,None,2,2008,WD,Normal,208500,5,3.5
1,RL,9600,No_Alley,4,Lvl,FR2,1,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,CBlock,Gd,ALQ,Unf,1262,GasA,Ex,Y,SBrkr,1262,3,1,6,1,Attchd,3,2,3,298,0,0,0,0,0,No_Fence,None,5,2007,WD,Normal,181500,31,2.5
2,RL,11250,No_Alley,3,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,PConc,Mn,GLQ,Unf,920,GasA,Ex,Y,SBrkr,1786,3,1,6,1,Attchd,3,2,3,0,42,0,0,0,0,No_Fence,None,9,2008,WD,Normal,223500,6,3.5
3,RL,9550,No_Alley,3,Lvl,Corner,1,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,BrkTil,No,ALQ,Unf,756,GasA,Gd,Y,SBrkr,1717,3,1,7,1,Detchd,2,3,3,0,35,272,0,0,0,No_Fence,None,2,2006,WD,Abnorml,140000,36,2.0
4,RL,14260,No_Alley,3,Lvl,FR2,1,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,PConc,Av,GLQ,Unf,1145,GasA,Ex,Y,SBrkr,2198,4,1,9,1,Attchd,3,3,3,192,84,0,0,0,0,No_Fence,None,12,2008,WD,Normal,250000,8,3.5
5,RL,14115,No_Alley,3,Lvl,Inside,1,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,Gable,CompShg,VinylSd,VinylSd,None,0.0,Wood,No,GLQ,Unf,796,GasA,Ex,Y,SBrkr,1362,1,1,5,0,Attchd,2,2,3,40,30,0,320,0,0,MnPrv,Shed,10,2009,WD,Normal,143000,14,2.5
6,RL,10084,No_Alley,4,Lvl,Inside,1,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,PConc,Av,GLQ,Unf,1686,GasA,Ex,Y,SBrkr,1694,3,1,7,1,Attchd,3,2,3,255,57,0,0,0,0,No_Fence,None,8,2007,WD,Normal,307000,2,3.0
7,RL,10382,No_Alley,3,Lvl,Corner,1,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,CBlock,Mn,ALQ,BLQ,1107,GasA,Ex,Y,SBrkr,2090,3,1,7,2,Attchd,3,2,3,235,204,228,0,0,0,No_Fence,Shed,11,2009,WD,Normal,200000,36,3.5
8,RM,6120,No_Alley,4,Lvl,Inside,1,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,Gable,CompShg,BrkFace,Wd Shng,None,0.0,BrkTil,No,Unf,Unf,952,GasA,Gd,Y,FuseF,1774,2,2,8,2,Detchd,2,2,3,90,0,205,0,0,0,No_Fence,None,4,2008,WD,Abnorml,129900,58,2.0
9,RL,7420,No_Alley,4,Lvl,Corner,1,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,Gable,CompShg,MetalSd,MetalSd,None,0.0,BrkTil,No,GLQ,Unf,991,GasA,Ex,Y,SBrkr,1077,2,2,5,2,Attchd,3,1,3,0,4,0,0,0,0,No_Fence,None,1,2008,WD,Normal,118000,58,2.0
10,RL,11200,No_Alley,4,Lvl,Inside,1,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,CBlock,No,Rec,Unf,1040,GasA,Ex,Y,SBrkr,1040,3,1,5,0,Detchd,2,1,3,0,0,0,0,0,0,No_Fence,None,2,2008,WD,Normal,129500,43,2.0
11,RL,11924,No_Alley,3,Lvl,Inside,1,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,PConc,No,GLQ,Unf,1175,GasA,Ex,Y,SBrkr,2324,4,1,11,2,BuiltIn,4,3,3,147,21,0,0,0,0,No_Fence,None,7,2006,New,Partial,345000,0,4.0
12,RL,12968,No_Alley,2,Lvl,Inside,1,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,CBlock,No,ALQ,Unf,912,GasA,TA,Y,SBrkr,912,2,1,4,0,Detchd,2,1,3,140,0,0,0,176,0,No_Fence,None,9,2008,WD,Normal,144000,46,2.0
